Amazon,10/07/2024,0,Vie quotidienne,Bocaux. rembourser
SNCF,13/07/2024,17.435,Transport,Rouen -> Paris
Restaurant,14/07/2024,10.9,Nourriture,Bho bun
Decathlon,13/07/2024,60,Vêtement,pompe gougou. gourde. short
SNCF,13/07/2024,6.94,Transport,4 ticket Paris
SNCF,13/07/2024,17.435,Transport,Paris -> Rouen 
SNCF,18/07/2024,65.735,Transport,Rouen -> Notre Dame de Mont
SNCF,18/07/2024,-63.1,Transport,Remboursement train papa
SNCF,30/07/2024,52.735,Transport,Paris -> Antibes
SNCF,30/07/2024,2.5,Transport,Antibes -> VIlleNeuve Loubet plage
SNCF,30/07/2024,-26.91,Transport,Bon d'achat tgv
SNCF,15/08/2024,2.5,Transport,VIlleNeuve Loubet plage -> Antibes
SNCF,15/08/2024,39.735,Transport,Antibes -> Paris
SNCF,06/09/2024,10.335,Transport,Rouen -> Paris
SNCF,08/09/2024,10.335,Transport,Paris -> Rouen
SNCF,13/09/2024,10.335,Transport,Rouen -> Paris
SNCF,15/09/2024,10.335,Transport,Paris -> Rouen
SNCF,20/09/2024,10.335,Transport,Rouen -> Paris
SNCF,22/09/2024,10.335,Transport,Paris -> Rouen
SNCF,27/09/2024,10.335,Transport,Rouen -> Paris
SNCF,29/09/2024,15.035,Transport,Paris -> Rouen
SNCF,04/10/2024,10.335,Transport,Rouen -> Paris
SNCF,06/10/2024,15.035,Transport,Paris -> Rouen
SNCF,11/10/2024,10.335,Transport,Rouen -> Paris
SNCF,13/10/2024,12.935,Transport,Paris -> Rouen
SNCF,08/11/2024,10.335,Transport,Rouen -> Paris
SNCF,11/11/2024,12.935,Transport,Paris -> Rouen
SNCF,15/11/2024,10.335,Transport,Rouen -> Paris
SNCF,17/11/2024,10.335,Transport,Paris -> Rouen
SNCF,22/11/2024,10.335,Transport,Rouen -> Paris
SNCF,24/11/2024,10.335,Transport,Paris -> Rouen
SNCF,29/11/2024,10.335,Transport,Rouen -> Paris
SNCF,01/12/2024,10.335,Transport,Paris -> Rouen
SNCF,06/12/2024,10.335,Transport,Rouen -> Paris
SNCF,08/12/2024,10.335,Transport,Paris -> Rouen
blabla,10/10/2024,10,Nourriture,ttest
eztezt,10/10/2024,10,Nourriture,"2r"""
fezfzf,10/10/2024,10,Nourriture,ff
fezfze,10/10/2024,10,Nourriture,
fefz,10/10/2024,10,Nourriture,
